"id","start_date","end_date","wrong_selection","hint_used","hints_count","evaluation","evaluation_details","objects","distractors","background","theme","perspective","rotate_images","max_overlap","min_distance_from_border","min_size","max_size","earned_stars","max_stars_possible","ended_early","general_difficulty","adaptive"
616793,"2022-03-07 10:23:42","2022-03-07 10:24:11",0,f,0,1," time (29s) - OK & ",3,1,"0/58_30_8_bg3.png","FantasyOldKids",t,f,0,143,100,300,3,6,f,43,f
616813,"2022-03-07 10:24:27","2022-03-07 10:24:41",0,f,0,1," time (14s) - OK & ",3,1,"0/70_20_5_bg2.png","Farm",t,f,0,143,100,300,3,6,f,43,f
616833,"2022-03-07 10:24:52","2022-03-07 10:25:10",0,f,0,1," time (18s) - OK & ",3,1,"0/66_50_17_bg3.png","Pirates",t,f,0,143,100,300,3,6,f,43,f
616879,"2022-03-07 10:26:03","2022-03-07 10:26:17",0,f,0,1," time (14s) - OK & ",3,1,"0/63_35_5_bg8.png","CityOldKids",t,f,0,143,100,300,3,6,f,43,f
616900,"2022-03-07 10:26:29","2022-03-07 10:26:44",0,f,0,1," time (15s) - OK & ",3,1,"0/65_33_7_bg5.png","Farm",t,f,0,143,100,300,3,6,f,43,f
616919,"2022-03-07 10:26:58","2022-03-07 10:27:10",0,f,0,1," time (12s) - OK & ",3,1,"0/66_50_17_bg3.png","Pirates",t,f,0,143,100,300,3,6,f,43,f
616938,"2022-03-07 10:27:23","2022-03-07 10:27:37",0,f,0,1," time (14s) - OK & ",3,1,"0/70_80_10_bg5.png","FantasyOldKids",t,f,0,143,100,300,3,6,f,43,f
616959,"2022-03-07 10:27:50","2022-03-07 10:28:10",0,f,0,1," time (20s) - OK & ",3,1,"0/58_50_7_bg5.png","CityOldKids",t,f,0,143,100,300,3,6,f,43,f
617462,"2022-03-07 11:12:09","2022-03-07 11:13:40",2,t,1,0,"hint used &  time (91s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 2 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/2000_castle.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/70_monster.png"" - 1 errs) --] ",8,21,"90/57_60_10_bg8.png","FantasyOldKids",f,f,0.2,71,100,180,16,21,f,62,t
617541,"2022-03-07 11:14:11","2022-03-07 11:16:14",2,f,0,1," time (123s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Farm/Items/40_pottedPlant1.png"" - 2 errs) --] ",8,22,"90/65_100_10_bg9.png","Farm",f,f,0.2,71,100,180,15,21,f,62,t
618232,"2022-03-07 13:51:20","2022-03-07 13:55:12",6,t,3,-1,"hint used &  acceptable time (112s) exceeded (232s) &  2 or more mistakes on 2 item(s) &  any mistake on 4 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/40_LAMP4.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/40_mummy.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/45_magician_4.png"" - 2 errs) -- (on object ""FantasyOldKids/Items/20_helmet.png"" - 1 errs) --] ",7,16,"0/70_80_10_bg5.png","FantasyOldKids",t,f,0.2,71,100,180,10,18,f,60,t
