JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty,adaptive
143042,0.0189,2.582,3.1051,0.733,0.5545,1,24,0
133233,0.0172,2.4407,2.765,0.7064,0.5636,0,62,1
153711,0.0218,2.9606,3.2066,0.7015,0.4331,0,62,1
139979,0.0203,2.6423,2.6218,0.6787,0.5858,0,62,1
108292,0.013,2.3357,2.4241,0.6778,0.4967,0,34,1
103520,0.0149,2.2684,2.5325,0.7262,0.599,0,14,1
136591,0.0153,2.6085,2.6378,0.7027,0.6431,0,60,1
128073,0.014,2.4628,2.4578,0.7807,0.5088,0,66,1
129133,0.0203,2.6984,2.6549,0.6646,0.3883,0,61,1
140413,0.0191,2.9235,2.7731,0.747,0.523,0,61,1
134523,0.0172,2.8195,2.7287,0.7395,0.5371,1,61,1
136423,0.02,2.5747,3.3906,0.6654,0.6192,1,68,1
151848,0.0261,2.9534,3.3726,0.7128,0.562,1,68,1
123532,0.0208,2.7848,3.1497,0.7006,0.5115,1,68,1
91162,0.0107,2.1849,2.13,0.7895,0.3257,1,29,0
93518,0.0106,2.1327,2.261,0.6491,0.3019,1,29,0
89664,0.011,1.9135,2.1051,0.6186,0.4915,0,29,0
101195,0.0158,2.4208,2.5584,0.6698,0.5327,0,0,0
138887,0.02,2.5775,2.8661,0.6777,0.6058,1,89,1
109211,0.017,2.4866,2.7081,0.659,0.5713,0,50,1
115588,0.0149,2.4481,2.4251,0.6516,0.4594,1,55,1
142766,0.019,2.8772,3.0113,0.6922,0.556,0,0,0
92809,0.0133,2.0173,2.6076,0.6537,0.578,1,28,1
109453,0.0138,2.4106,2.4814,0.6991,0.4157,1,43,1
107079,0.0144,2.3764,2.6218,0.7323,0.496,1,43,1
100945,0.012,2.6082,2.3729,0.7136,0.5633,1,50,1
113432,0.0128,2.2355,2.351,0.7284,0.545,1,77,1
109555,0.017,2.4613,2.8016,0.7231,0.6189,1,28,1
129184,0.0167,2.4888,2.728,0.6615,0.6036,1,55,1
109717,0.0157,2.4208,2.4286,0.7065,0.4684,0,28,1
136843,0.0154,2.6271,2.6464,0.6929,0.6401,1,67,1
146925,0.0162,2.9477,2.664,0.6787,0.4014,1,67,1
160690,0.0206,3.0773,2.925,0.7432,0.4639,0,77,1
141206,0.0138,2.8202,2.6403,0.7924,0.4762,0,77,1
120512,0.0151,2.5083,2.6131,0.6765,0.5602,1,43,1
69374,0.007,1.9747,1.8467,0.6679,0.3799,1,59,0
67738,0.0069,1.7597,1.7923,0.7858,0.3652,1,59,0
55247,0.0039,1.3133,1.6622,0.7465,0.3469,1,59,0
81331,0.0073,2.3378,2.0239,0.7573,0.4441,1,59,0
108997,0.014,2.3171,2.2364,0.688,0.6098,0,21,1
103004,0.0133,2.5906,2.1139,0.6896,0.4476,0,21,1
108467,0.0145,2.2579,2.7206,0.6722,0.4354,0,21,1
83765,0.01,1.9324,2.0669,0.6155,0.4243,0,21,1
81076,0.0072,1.7079,2.0956,0.7582,0.4751,0,21,1
116060,0.0127,2.4511,2.3631,0.8151,0.4702,1,21,1
93137,0.0114,2.1702,2.1965,0.6681,0.5216,1,21,1
88998,0.0105,2.0707,2.0872,0.7243,0.5337,1,21,1
63104,0.0058,1.7573,1.6899,0.7888,0.2259,0,19,0
59644,0.0036,1.535,1.7227,0.7816,0.2655,1,19,0
110387,0.0157,2.2564,2.6816,0.7192,0.5941,1,27,0
143376,0.0185,2.5188,2.8294,0.7125,0.4914,0,17,1
97066,0.0114,2.2854,1.9146,0.6871,0.401,0,27,0
112710,0.0162,2.4437,2.685,0.712,0.4841,1,27,0
117697,0.0141,2.6832,2.5301,0.7441,0.4884,1,27,0
67257,0.0065,1.5259,1.8436,0.6834,0.4266,1,44,0
82900,0.0069,2.0735,1.9477,0.8657,0.2549,1,44,0
131921,0.0173,2.7614,2.806,0.7178,0.5843,0,36,1
101196,0.0093,2.2609,2.2202,0.8361,0.5011,0,21,1
120519,0.0184,2.6273,3.0432,0.6625,0.5734,0,20,0
105968,0.0134,2.3139,2.6362,0.7099,0.4931,1,20,0
57573,0.0035,1.4124,1.7363,0.7564,0.3878,1,43,0
86206,0.0073,2.5497,1.9752,0.7647,0.2285,1,43,0
141710,0.0197,2.5462,2.9614,0.7176,0.5208,0,62,1
129059,0.0157,2.5195,2.6837,0.7777,0.4794,0,60,1
89850,0.0082,2.1802,2.0529,0.845,0.3416,0,20,0
61681,0.0058,1.611,1.7504,0.5523,0.2107,1,20,0
51622,0.003,1.7155,1.6313,0.8163,0.2278,1,57,0
53334,0.0047,1.7096,1.8366,0.816,0.1714,1,57,0
101278,0.0134,2.2636,2.0675,0.6494,0.4497,1,14,1
120009,0.0121,2.3736,2.3466,0.7945,0.4627,0,60,1
56247,0.0026,1.3605,1.6507,0.8401,0.3805,0,43,0
53340,0.0023,1.4435,1.5966,0.8181,0.2692,1,43,0
166164,0.0237,3.0097,2.6754,0.673,0.5252,0,62,1
68928,0.0055,1.8736,1.6471,0.752,0.2977,1,20,0
56684,0.0031,1.2214,1.6087,0.8477,0.39,1,20,0
64654,0.006,1.7424,1.7493,0.7968,0.3457,0,43,0
99407,0.0106,2.5399,2.2061,0.7934,0.4447,1,34,1
60721,0.0094,1.8251,1.9724,0.5845,0.2302,1,57,0
106343,0.0133,2.5849,2.4762,0.7011,0.53,1,55,1
88208,0.0081,1.9404,2.1039,0.8029,0.4437,0,20,0
67618,0.0074,1.8927,1.9481,0.7191,0.3905,0,57,0
80264,0.006,1.9042,1.9351,0.7727,0.3083,1,14,1
94444,0.0098,2.5405,2.1875,0.7723,0.3349,1,24,0
72859,0.008,1.7549,2.0378,0.6641,0.3594,1,24,0
81143,0.0085,1.9036,1.9403,0.6707,0.5364,1,34,1
91279,0.0091,2.4888,2.1995,0.7558,0.3267,1,24,0
80666,0.0097,1.8066,2.293,0.7098,0.6123,1,24,0
79887,0.009,2.2962,2.0162,0.6794,0.2619,1,24,0
85486,0.0099,1.8595,2.0353,0.6711,0.3461,0,14,1
78900,0.0126,2.0576,2.5273,0.6432,0.5263,1,57,0
70432,0.0104,1.9786,2.0853,0.7115,0.5105,1,57,0
89158,0.0109,1.8725,2.3294,0.6981,0.4204,0,43,0
94149,0.0108,2.0603,1.9926,0.7199,0.4557,1,20,0
91938,0.0103,2.0851,1.9587,0.7291,0.4587,1,71,0
90622,0.0099,1.9374,2.0362,0.7209,0.572,0,47,1
73039,0.0063,1.7238,2.0605,0.7723,0.3548,0,43,0
