JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty
143042,0.0189,2.582,3.1051,0.733,0.5545,1,24
91162,0.0107,2.1849,2.13,0.7895,0.3257,1,29
93518,0.0106,2.1327,2.261,0.6491,0.3019,1,29
89664,0.011,1.9135,2.1051,0.6186,0.4915,0,29
101195,0.0158,2.4208,2.5584,0.6698,0.5327,0,0
142766,0.019,2.8772,3.0113,0.6922,0.556,0,0
69374,0.007,1.9747,1.8467,0.6679,0.3799,1,59
67738,0.0069,1.7597,1.7923,0.7858,0.3652,1,59
55247,0.0039,1.3133,1.6622,0.7465,0.3469,1,59
81331,0.0073,2.3378,2.0239,0.7573,0.4441,1,59
63104,0.0058,1.7573,1.6899,0.7888,0.2259,0,19
59644,0.0036,1.535,1.7227,0.7816,0.2655,1,19
110387,0.0157,2.2564,2.6816,0.7192,0.5941,1,27
97066,0.0114,2.2854,1.9146,0.6871,0.401,0,27
112710,0.0162,2.4437,2.685,0.712,0.4841,1,27
117697,0.0141,2.6832,2.5301,0.7441,0.4884,1,27
67257,0.0065,1.5259,1.8436,0.6834,0.4266,1,44
82900,0.0069,2.0735,1.9477,0.8657,0.2549,1,44
120519,0.0184,2.6273,3.0432,0.6625,0.5734,0,20
105968,0.0134,2.3139,2.6362,0.7099,0.4931,1,20
57573,0.0035,1.4124,1.7363,0.7564,0.3878,1,43
86206,0.0073,2.5497,1.9752,0.7647,0.2285,1,43
89850,0.0082,2.1802,2.0529,0.845,0.3416,0,20
61681,0.0058,1.611,1.7504,0.5523,0.2107,1,20
51622,0.003,1.7155,1.6313,0.8163,0.2278,1,57
53334,0.0047,1.7096,1.8366,0.816,0.1714,1,57
56247,0.0026,1.3605,1.6507,0.8401,0.3805,0,43
53340,0.0023,1.4435,1.5966,0.8181,0.2692,1,43
68928,0.0055,1.8736,1.6471,0.752,0.2977,1,20
56684,0.0031,1.2214,1.6087,0.8477,0.39,1,20
