uae_maxpool3,uae_maxpool4,JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty
0.0653119385242462,0.0214489959180355,136431,0.027,2.7053,3.9011,0.6552,0.6626,1,55
0.0602789223194122,0.0223522912710905,119293,0.02,2.9284,3.0256,0.6948,0.5801,0,57
0.0385822914540767,0.0105380862951278,130581,0.0251,2.915,3.3224,0.6764,0.5833,1,37
0.0772437080740928,0.0186570938676595,126854,0.0159,2.2743,2.5663,0.7003,0.5882,1,60
0.087493322789669,0.02888616733253,129456,0.0194,2.4222,2.8432,0.6829,0.6138,0,43
0.098491221666336,0.0237747505307197,153945,0.0235,2.6204,3.6135,0.6895,0.6189,0,62
0.0598002038896083,0.0119115505367517,109069,0.0117,2.3773,2.3614,0.7234,0.6147,0,34
0.058798398822546,0.0197597835212945,110080,0.0144,2.3355,2.439,0.6644,0.5915,0,34
0.0543110109865665,0.0136619443073868,127569,0.0164,2.533,2.7493,0.6416,0.5418,0,60
0.0678305625915527,0.0215585976839065,142343,0.0195,2.5628,3.0751,0.7028,0.5828,1,28
0.0641455128788948,0.0141776874661445,149543,0.0222,2.7003,3.1409,0.6674,0.5795,0,60
0.072403572499752,0.0858005508780479,111278,0.0122,2.0392,2.2781,0.7113,0.6116,0,60
0.0284075029194355,0.0093602454289793,128950,0.0215,2.9162,3.1618,0.7063,0.5747,0,57
0.0418974384665489,0.0110083119943737,115359,0.0149,2.2816,2.5544,0.7161,0.6267,0,66
0.0752452313899993,0.0274544637650251,128135,0.0185,2.2592,3.1464,0.6364,0.6129,0,34
0.0819197297096252,0.0518324859440326,153917,0.0316,2.9338,4.0925,0.6481,0.6773,1,55
0.0864994004368782,0.0165675915777683,128828,0.0247,2.8576,3.3517,0.6529,0.602,0,37
0.0781961157917976,0.0134710604324936,132507,0.0178,2.3968,2.888,0.7236,0.6619,0,66
0.0726552754640579,0.0145594123750925,135080,0.0265,2.8429,3.6822,0.7001,0.5997,1,37
0.0849311277270317,0.0201189499348402,152582,0.0253,2.7471,3.4345,0.6935,0.6806,1,55
0.075194276869297,0.0175094678997993,112471,0.0215,2.4662,3.3684,0.6523,0.6117,0,57
0.0682046040892601,0.013574088923633,142769,0.0189,2.4676,2.8193,0.6759,0.6122,0,28
0.061121292412281,0.053040936589241,137485,0.0203,2.5916,2.9626,0.673,0.6458,1,62
0.2212447524070739,0.2221904695034027,113103,0.0204,2.7297,3.0117,0.6695,0.555,1,57
0.0800368413329124,0.0314636081457138,119566,0.0198,3.0134,2.9789,0.6991,0.5696,1,57
0.0998307839035987,0.0190198309719562,148587,0.0313,2.8348,4.2009,0.6415,0.6795,1,55
0.0691537633538246,0.016375271603465,110674,0.0193,2.3909,2.8225,0.6654,0.658,1,55
0.1121814548969268,0.0419183410704135,125884,0.0181,2.3715,2.7423,0.7066,0.6012,0,43
0.056656613945961,0.0412927828729152,116188,0.0221,2.5043,2.9179,0.6963,0.6226,0,57
0.1111100614070892,0.0356873348355293,129073,0.025,2.8565,3.458,0.6194,0.5836,1,37
0.2254704236984253,0.2352722734212875,150071,0.0206,2.702,3.0182,0.655,0.5659,1,28
0.0734324753284454,0.0196619555354118,135483,0.0173,2.5158,2.8093,0.6664,0.5179,0,60
0.0572871677577495,0.018391178920865,138041,0.0175,2.9237,2.8945,0.6977,0.4627,0,20
0.066308781504631,0.012560318224132,132212,0.0258,2.683,3.3527,0.6583,0.6144,1,55
0.0477160289883613,0.0268060564994812,117298,0.0219,2.6344,3.2185,0.6985,0.5778,0,57
0.0599771849811077,0.0060914205387234,117768,0.023,2.5359,3.0204,0.6794,0.6243,0,57
0.0588204376399517,0.0364396721124649,149233,0.0209,2.9062,3.0288,0.6826,0.6496,0,62
0.0531912706792354,0.01375980861485,148095,0.0236,2.5939,3.4643,0.6396,0.627,0,43
0.0898350998759269,0.0226843636482954,143702,0.029,2.8677,4.154,0.6577,0.6077,1,55
0.0909548178315162,0.0273630339652299,137543,0.0268,2.8928,3.7689,0.7008,0.6129,0,37
0.094218760728836,0.0352731756865978,145854,0.0201,2.4706,3.2374,0.6653,0.6424,0,60
0.0640030056238174,0.0442605391144752,103380,0.0179,2.1931,3.0883,0.6645,0.6663,0,37
0.0727573856711387,0.0174966920167207,125190,0.0209,2.8932,3.0572,0.6763,0.6386,1,37
0.0809182003140449,0.0377027578651905,118316,0.0229,2.5703,3.1116,0.6811,0.6819,1,37
0.0804738327860832,0.0320638455450534,112443,0.02,2.5185,2.8876,0.6756,0.5901,0,57
0.0443851538002491,0.0119080999866127,117892,0.0213,2.5779,3.0634,0.6831,0.5812,0,57
0.0372940078377723,0.0079878224059939,136591,0.0153,2.6085,2.6378,0.7027,0.6431,0,60
0.0657950043678283,0.0196067653596401,121223,0.0233,2.613,3.5389,0.6419,0.6094,1,57
0.0710342898964881,0.021602539345622,118223,0.0211,2.8852,3.211,0.6636,0.4712,1,57
0.0853720605373382,0.0860497280955314,144689,0.0205,2.6229,2.9703,0.6476,0.5958,0,28
0.0835665240883827,0.0154645098373293,135998,0.0193,2.4441,2.8683,0.7015,0.6622,0,66
0.0488169081509113,0.0192400608211755,105672,0.0129,2.1094,2.3251,0.6972,0.6342,1,61
0.1181716695427894,0.0601592250168323,133795,0.0193,2.5996,3.0,0.6672,0.5322,0,61
0.0548170767724514,0.0156297087669372,125459,0.0182,2.3323,2.6514,0.6805,0.6541,1,61
0.0968308895826339,0.0209335591644048,85266,0.0099,1.9504,2.0581,0.7317,0.506,1,21
0.0771130919456482,0.0258797761052846,77828,0.0088,1.9365,1.8988,0.7511,0.5512,1,21
0.1017048805952072,0.0247716270387172,62165,0.0046,1.4073,1.7881,0.7421,0.437,1,21
0.0649047791957855,0.0140502788126468,64493,0.0044,1.6989,1.6285,0.7694,0.295,1,21
0.064663328230381,0.0118735199794173,81958,0.0082,1.7722,2.1701,0.7138,0.5501,1,21
0.0574787519872188,0.0154472971335053,87607,0.0091,1.8148,2.0059,0.729,0.5687,1,21
0.0796732231974601,0.0336258262395858,82088,0.0074,1.6982,1.9522,0.7758,0.4912,1,21
0.0706829503178596,0.0235413666814565,82106,0.0082,1.7668,1.905,0.7091,0.5615,1,21
0.0928354710340499,0.0363598875701427,100210,0.0117,2.282,2.226,0.6687,0.4499,1,21
0.0371466763317585,0.0193656999617815,96101,0.0106,2.1287,2.2416,0.6901,0.5301,1,61
0.0804565399885177,0.0333562046289444,102031,0.0123,2.2674,2.2932,0.6266,0.5132,1,21
0.0679089426994323,0.020205695182085,111372,0.014,2.3648,2.4955,0.6835,0.4565,1,21
0.0847022384405136,0.0196449775248765,140480,0.0182,2.8468,2.915,0.7105,0.5605,0,61
0.0700086057186126,0.0325636118650436,122159,0.0158,2.3559,2.6833,0.7132,0.5278,1,21
0.0657033547759056,0.0279549863189458,122994,0.014,2.6202,2.5865,0.6978,0.6055,0,61
0.0383888855576515,0.0302675832062959,110836,0.0144,2.1313,2.7349,0.7096,0.5294,1,21
0.0605137534439563,0.0129108522087335,105475,0.0123,2.0201,2.6054,0.7187,0.5973,1,21
0.0422498360276222,0.0261640697717666,116959,0.0148,2.498,2.4901,0.6874,0.4756,1,21
0.0958351790904998,0.040716964751482,116141,0.0155,2.1564,2.8857,0.6474,0.6309,0,61
0.0944997519254684,0.0422556735575199,119187,0.0146,2.1848,2.8149,0.7052,0.5649,1,21
0.1021677181124687,0.0366636104881763,132427,0.0178,2.4784,2.8982,0.7285,0.5461,1,21
0.0988226905465126,0.0160630773752927,120683,0.0155,2.393,2.6122,0.6647,0.5478,1,21
0.081164039671421,0.0321712531149387,133489,0.0176,2.6104,2.7902,0.6597,0.5271,1,21
0.0749375149607658,0.0138491569086909,75216,0.0072,2.5132,1.9232,0.7227,0.2646,1,0
0.0947742238640785,0.0221467204391956,64194,0.0076,1.6161,2.0939,0.7087,0.5788,1,0
0.0618205443024635,0.0180850774049758,127379,0.0178,2.2386,3.0406,0.6707,0.6458,0,61
0.0844476819038391,0.0214133355766534,123748,0.0168,2.4879,2.681,0.6454,0.5385,0,61
0.0786823630332946,0.0243781581521034,72117,0.0091,2.1338,2.1013,0.6821,0.4108,1,0
0.0795804485678672,0.0374445356428623,71685,0.0093,1.5627,2.2108,0.6976,0.7781,1,0
0.0728768333792686,0.029596833512187,69113,0.0074,2.0669,1.9315,0.7097,0.3731,1,0
0.0906963124871254,0.021889379248023,127653,0.0178,2.2447,3.0424,0.6477,0.678,0,61
0.0523535571992397,0.054534263908863,128897,0.017,2.3826,3.0608,0.6698,0.5552,1,21
0.3825581967830658,0.5015925765037537,67564,0.0083,2.1073,1.9856,0.7704,0.2681,1,0
0.1079147160053253,0.0337211638689041,74472,0.0095,1.8043,2.247,0.703,0.5945,1,0
0.0879378914833068,0.0178976170718669,134620,0.0179,2.5255,2.8567,0.6728,0.5381,1,21
0.0850249230861663,0.0391991846263408,82222,0.0115,2.2664,2.1385,0.6703,0.3909,1,0
0.0353000313043594,0.019152209162712,82898,0.0077,2.4357,2.0962,0.7543,0.3483,1,0
0.1256989240646362,0.075682133436203,84921,0.0121,2.1405,2.2715,0.6678,0.5206,1,0
0.0786807537078857,0.0444349274039268,142021,0.0167,2.89,2.8699,0.7056,0.466,1,21
0.0655510202050209,0.031696256250143,69566,0.0076,1.8097,1.9727,0.7423,0.4019,1,0
0.1071330159902572,0.0208020638674497,83217,0.0113,2.0279,2.2355,0.707,0.492,1,0
0.0288910437375307,0.0169565305113792,57353,0.0054,1.7924,1.7688,0.7026,0.3255,1,54
0.0909801945090293,0.0316669642925262,69841,0.0102,2.01,2.0871,0.7563,0.5175,1,54
0.1114573776721954,0.0177601259201765,92987,0.0124,2.4663,2.4768,0.7034,0.401,1,0
0.2498909831047058,0.2816439270973205,90608,0.0121,2.2518,2.3414,0.702,0.513,1,0
0.0916003212332725,0.0122625092044472,81930,0.0083,2.3306,2.1411,0.7552,0.5406,0,54
0.0643398687243461,0.0198827534914016,70560,0.0055,1.8779,1.7529,0.7033,0.3012,1,49
0.0811217427253723,0.0377581939101219,92434,0.013,1.9497,2.4439,0.6917,0.6218,1,0
0.1275508552789688,0.0136139588430523,106560,0.0185,2.416,2.8214,0.6747,0.6513,1,0
0.0816275551915168,0.0182364508509635,86116,0.0063,2.3324,1.889,0.7418,0.4048,1,49
0.0800629407167434,0.0222004987299442,68195,0.0043,1.5379,1.6889,0.7999,0.4743,1,49
0.0558857209980487,0.0154251782223582,111291,0.0119,2.5696,2.3427,0.7281,0.3578,1,49
0.0752453431487083,0.0266824346035718,82385,0.0109,2.0474,2.4262,0.679,0.4422,1,0
0.0951177254319191,0.0295407138764858,89801,0.0128,2.0812,2.3553,0.7418,0.5373,1,0
0.0696601495146751,0.0193596668541431,69278,0.0062,1.7271,1.7827,0.7591,0.4826,1,45
0.0734922140836715,0.0300189703702926,98417,0.0115,2.0798,2.1829,0.7124,0.5207,1,35
0.0452442169189453,0.0335407480597496,133809,0.0189,2.4432,3.1014,0.6243,0.5821,1,21
0.0589414797723293,0.0276273358613252,75063,0.0105,2.2025,2.0619,0.6925,0.5041,1,54
0.2511801123619079,0.310454785823822,70639,0.0103,1.8542,2.2909,0.7017,0.5504,1,54
0.1015238836407661,0.0124838398769497,92803,0.0101,2.099,2.1882,0.6583,0.5801,1,35
0.1044557690620422,0.0192424282431602,69058,0.0063,1.7787,1.8179,0.6868,0.4872,1,45
0.0966848954558372,0.1289810985326767,75850,0.0073,1.8797,1.9509,0.6827,0.4578,1,45
0.0698741599917411,0.0091321337968111,82437,0.0098,2.0152,2.152,0.7654,0.3511,1,41
0.0971020087599754,0.0125755239278078,69567,0.0071,2.0071,1.8703,0.6817,0.2547,1,41
0.0786570906639099,0.061706144362688,67831,0.0066,1.9342,1.8015,0.7061,0.2638,1,0
0.0639019086956977,0.0164640806615352,126268,0.0167,2.3372,2.6175,0.6886,0.6225,0,61
0.1090484261512756,0.051257025450468,89972,0.0108,2.1762,2.1595,0.7299,0.4634,0,49
0.0576461963355541,0.0134468339383602,94908,0.0134,2.2857,2.4449,0.671,0.4881,1,0
0.0950658470392227,0.0346819795668125,115403,0.0194,2.5894,2.8768,0.6996,0.5684,1,0
0.0525776892900466,0.048892680555582,86207,0.0111,1.9036,2.3245,0.6804,0.6038,1,41
0.4400341212749481,0.6171213388442993,109334,0.0149,2.331,2.5592,0.7165,0.6032,1,35
0.0563906021416187,0.0397077724337577,85073,0.0101,1.9337,2.374,0.7146,0.4254,1,45
0.0688665956258773,0.0195615068078041,102763,0.0174,2.4981,2.7587,0.6449,0.4973,1,0
0.0797054320573806,0.0228663925081491,98965,0.0139,2.427,2.5886,0.6811,0.532,1,0
0.0778618454933166,0.0386529900133609,75203,0.0067,1.6398,1.9263,0.778,0.543,1,45
0.0401028133928775,0.0135546261444687,79644,0.008,1.8458,1.9864,0.7567,0.4481,1,45
0.0739575326442718,0.0152034936472773,83357,0.0091,2.1484,2.1086,0.6877,0.2943,1,41
0.0612109340727329,0.0234760884195566,120003,0.0136,2.6128,2.5489,0.6983,0.5841,0,35
0.0563381537795066,0.0186739210039377,132899,0.0177,2.6748,2.7023,0.6453,0.4994,1,21
0.102162018418312,0.0714402198791503,87370,0.0114,2.2529,2.3093,0.6928,0.4712,1,54
0.11827402561903,0.0568011999130249,93770,0.0136,2.4486,2.4921,0.6991,0.5018,1,54
0.0863215550780296,0.0396225936710834,75199,0.0106,1.9061,2.2626,0.6485,0.6496,1,54
0.2070559412240982,0.2236847728490829,106880,0.0109,2.5787,2.4307,0.7665,0.4468,1,0
0.0404240675270557,0.0122399171814322,107678,0.0105,2.6036,2.2452,0.7404,0.4403,1,49
0.0675218030810356,0.0429191477596759,90057,0.0103,1.8823,2.2947,0.6122,0.651,1,49
0.0654627755284309,0.0260889530181884,115901,0.0198,2.5234,2.9466,0.6976,0.6285,1,0
0.048674426972866,0.0279405284672975,74444,0.0075,1.8754,1.8189,0.6545,0.3749,1,19
0.0462709590792655,0.0131843974813818,79022,0.0083,2.0272,1.9804,0.7669,0.3946,1,19
0.0492037832736969,0.0093104392290115,94671,0.0124,2.1747,2.3735,0.74,0.4947,0,0
0.0761542469263076,0.0277579315006732,84662,0.0119,2.3167,2.2442,0.6684,0.4247,1,54
0.1028990298509597,0.016521792858839,91307,0.0116,2.1904,2.2406,0.6637,0.4745,1,41
0.0761973336338996,0.0206627193838357,101018,0.0107,2.4047,2.3045,0.7078,0.5124,1,45
0.0736927837133407,0.0318938344717025,108102,0.0124,2.5812,2.4399,0.7186,0.5564,0,45
0.0767125412821769,0.0092461183667182,99645,0.0124,2.2618,2.2859,0.6859,0.5133,1,35
0.0644655302166938,0.0385045111179351,159587,0.0229,2.8379,3.1538,0.6442,0.6146,0,21
0.084069900214672,0.0171617437154054,63091,0.0046,1.483,1.8057,0.7313,0.3335,1,19
0.0720143169164657,0.0109499618411064,68179,0.0055,1.6159,1.8586,0.7169,0.4611,1,19
0.0507629141211509,0.0206964202225208,125137,0.014,2.7122,2.5721,0.7294,0.4905,1,49
0.0756590962409973,0.0185710918158292,110048,0.0105,2.4897,2.3106,0.7564,0.4252,1,49
0.0734680444002151,0.03455625846982,109269,0.0163,2.4069,2.7755,0.6951,0.5974,1,0
0.0591796934604644,0.0320872999727726,89780,0.0146,2.1061,2.7093,0.6078,0.6172,1,54
0.0401175208389759,0.0143511416390538,91450,0.0136,2.1035,2.4466,0.7181,0.5811,1,54
0.0770807862281799,0.0110603934153914,97833,0.0153,2.3981,2.6513,0.7318,0.5876,1,54
0.0559636503458023,0.0185566768050193,100403,0.0114,2.0616,2.3019,0.7432,0.4962,0,49
0.0882211104035377,0.0186377484351396,59641,0.0055,1.6121,1.7766,0.8061,0.4891,1,0
0.0691251903772354,0.0128128230571746,93247,0.0108,2.0033,2.1464,0.7306,0.5177,1,45
0.0731360092759132,0.0176904276013374,110406,0.0132,2.3168,2.4308,0.6674,0.5347,1,49
0.066578209400177,0.0301332250237464,92842,0.0129,2.2641,2.4964,0.7,0.4446,1,0
0.0666211247444152,0.0155231012031435,95128,0.0147,2.3248,2.5348,0.7193,0.4842,1,0
0.0522561073303222,0.0268246345221996,69332,0.0062,1.6866,1.7147,0.7515,0.5019,1,29
0.0890462026000022,0.0277912653982639,61809,0.0055,1.457,1.797,0.7086,0.6767,1,29
0.0732305645942688,0.0159858465194702,110042,0.0205,2.7864,2.9207,0.6737,0.47,1,68
0.1001746878027916,0.0188279263675212,96565,0.0149,2.4403,2.5029,0.635,0.4969,0,0
0.0732271447777748,0.0173793323338031,116423,0.0166,2.3949,2.8347,0.7158,0.5616,1,41
0.0353676751255989,0.0232889298349618,93273,0.0113,1.9567,2.2506,0.7396,0.5028,1,45
0.0746832862496376,0.0241835266351699,96113,0.0153,2.4064,2.6931,0.7409,0.5724,0,54
0.0863807424902916,0.0588523894548416,99929,0.0115,2.0307,2.2183,0.6543,0.5645,1,41
0.104705810546875,0.0162786673754453,71119,0.0056,1.5448,1.7604,0.7705,0.5063,1,29
0.0726208314299583,0.0400166101753711,66168,0.0049,1.4861,1.687,0.8083,0.2839,1,29
0.0892639830708503,0.0207588449120521,107095,0.0125,1.9879,2.5691,0.6657,0.6338,0,68
0.0534516349434852,0.0192985199391841,152219,0.0222,2.764,3.251,0.7042,0.5666,1,21
0.0727332681417465,0.0249843467026948,99669,0.0153,2.5016,2.6811,0.6462,0.4801,0,54
0.0614041537046432,0.0215320512652397,86248,0.0079,1.7723,1.9243,0.7243,0.61,0,41
0.0591475702822208,0.0166836157441139,108740,0.0105,2.4422,2.2984,0.7363,0.6062,1,29
0.0326018668711185,0.0181725900620222,73724,0.0069,1.9011,1.8051,0.6796,0.3536,1,19
0.060438372194767,0.0118252737447619,101863,0.0163,2.3714,2.7508,0.7324,0.5943,1,0
0.0666700452566146,0.0390089228749275,93602,0.0135,2.3748,2.4421,0.6658,0.5399,1,0
0.071872629225254,0.0147805353626608,148828,0.0217,2.5459,3.3518,0.6265,0.6331,1,21
0.0961012542247772,0.0391091220080852,102407,0.0164,2.2004,2.9087,0.651,0.6215,1,0
0.0655894204974174,0.0339643470942974,132831,0.0202,2.914,3.0187,0.6829,0.595,0,0
0.0655582696199417,0.0187812428921461,131261,0.0219,2.996,3.3283,0.7008,0.5482,1,68
0.0780207589268684,0.0130549687892198,75732,0.0093,1.8948,2.0922,0.7559,0.4584,1,0
0.0929769054055213,0.0444484800100326,107598,0.0154,2.336,2.6024,0.7224,0.5352,1,0
0.0614653788506984,0.0109505271539092,106920,0.014,2.4214,2.519,0.6489,0.463,1,41
0.0864143222570419,0.014972192235291,114315,0.0157,2.2464,2.6535,0.7199,0.6459,1,35
0.0873430222272872,0.0487695224583148,111353,0.0155,2.387,2.6576,0.6589,0.5477,1,45
0.0547094643115997,0.0179651472717523,76374,0.0075,1.6716,2.0549,0.6764,0.5325,1,19
0.0347481779754161,0.0132922735065221,103730,0.01,2.4975,2.1898,0.7394,0.3868,1,29
0.0905572101473808,0.0247555691748857,100222,0.012,2.0827,2.2813,0.7424,0.5781,1,41
0.1077910587191581,0.0565986149013042,107582,0.0134,2.3745,2.5044,0.6741,0.4648,1,41
0.0677690804004669,0.0190046932548284,93777,0.0109,1.9398,2.1062,0.6956,0.6413,1,35
0.0532774217426776,0.0146399661898612,89000,0.0114,2.1699,2.2392,0.7222,0.4769,1,54
0.0818037688732147,0.0393629856407642,87421,0.012,2.3856,2.3266,0.6664,0.4699,1,0
0.048166885972023,0.0206589251756668,96437,0.0084,2.4611,2.0818,0.7452,0.4307,1,19
0.0525882914662361,0.0099882036447525,116109,0.0153,2.4152,2.7199,0.7416,0.5731,1,45
0.0653065964579582,0.0222652740776538,102895,0.0095,2.5568,2.157,0.7502,0.3082,1,29
0.0687581524252891,0.0490018539130687,80224,0.0073,1.693,1.8587,0.7621,0.5326,1,29
0.0479108393192291,0.0126463705673813,102371,0.0119,2.1248,2.2793,0.7354,0.5811,0,41
0.0638124719262123,0.0386440828442573,106208,0.0171,2.6307,2.7638,0.6653,0.4517,1,54
0.0479199439287185,0.0281048938632011,98927,0.0157,2.2398,2.4642,0.6662,0.5532,1,54
0.0819740071892738,0.0300451517105102,100865,0.0128,2.0452,2.3714,0.7147,0.5721,1,29
0.0813423618674278,0.0218511298298835,87871,0.0115,2.2188,2.3938,0.672,0.4624,1,0
0.0694263279438018,0.031935341656208,93489,0.0146,2.1185,2.7395,0.6233,0.5863,0,0
0.0473369769752025,0.0100543554872274,113137,0.0125,2.6953,2.4791,0.7432,0.4475,1,41
0.0764420107007026,0.008950681425631,114247,0.0148,2.3631,2.5069,0.6489,0.5489,1,49
0.0602053701877594,0.0276963599026203,119072,0.0163,2.3788,2.6745,0.7273,0.6329,1,35
0.0532243028283119,0.0111152250319719,100342,0.0139,2.2774,2.4969,0.7074,0.4668,1,0
0.0681358948349952,0.016600651666522,105425,0.0132,2.3397,2.2482,0.6635,0.545,1,19
0.0928922966122627,0.0340193398296833,95027,0.0134,2.3499,2.4928,0.6875,0.4691,1,0
0.0854352638125419,0.0182285699993371,104112,0.0169,2.5222,2.6052,0.6571,0.4868,1,0
0.10011637955904,0.0225886516273021,88402,0.0113,1.9587,2.223,0.7225,0.5662,1,41
0.0713453292846679,0.0128636118024587,106224,0.0132,2.5662,2.5091,0.7114,0.625,1,41
0.0497114807367324,0.0108823990449309,109469,0.0138,2.6039,2.5599,0.7236,0.5577,1,41
0.0491960570216178,0.0131737794727087,100123,0.0149,2.0852,2.7423,0.6392,0.7016,1,41
0.1004411503672599,0.0218187607824802,106574,0.017,2.32,3.006,0.6523,0.5706,1,0
