id,JPEG_size,CONTOUR_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND,CONTOUR_CONGESTION,start_date,end_date,wrong_selection,hint_used,hints_count,evaluation,evaluation_details,objects,distractors,background,theme,perspective,rotate_images,max_overlap,min_distance_from_border,min_size,max_size,earned_stars,max_stars_possible,ended_early,general_difficulty,adaptive,duration,background_difficulty
1000698,143042,0.0189,2.582,3.1051,0.733,0.5545,2022-05-11 09:51:53,2022-05-11 09:52:56,0,f,0,1, time (63s) - OK & ,9,23,68_25_7_bg2.png,Pirates,0,0,0.3,71,86,215,21,24,f,24,0,63,0
1006767,133233,0.0172,2.4407,2.765,0.7064,0.5636,2022-05-11 13:09:44,2022-05-11 13:12:23,44,t,4,0,"hint used &  time (159s) - OK &  2 or more mistakes on 3 item(s) &  any mistake on 5 item(s) &  [Mistakes Details:   (on object ""FantasyOldKids/Items/25_kettle.png"" - 13 errs) -- (on object ""FantasyOldKids/Items/70_monster.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/10_mushrooms.png"" - 6 errs) -- (on object ""FantasyOldKids/Items/50_princess.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/45_girlwitch_2.png"" - 23 errs) --] ",10,29,57_60_10_bg8.png,FantasyOldKids,0,1,0.4,71,100,180,14,27,f,62,1,159,90
1012303,153711,0.0218,2.9606,3.2066,0.7015,0.4331,2022-05-12 14:59:50,2022-05-12 15:01:01,1,t,1,0,"hint used &  time (71s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/12_hourglass.png"" - 1 errs) --] ",10,29,70_50_10_bg6.png,FantasyOldKids,0,0,0.2,71,100,180,24,27,f,62,1,71,90
1055102,139979,0.0203,2.6423,2.6218,0.6787,0.5858,2022-05-19 15:09:28,2022-05-19 15:10:28,3,t,1,0,"hint used &  time (60s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 3 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/2000_castle.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/10_mushrooms.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/80_chest_2.png"" - 1 errs) --] ",9,24,60_50_10_bg10.png,FantasyOldKids,0,0,0.4,71,100,180,13,24,f,62,1,60,90
1087085,108292,0.013,2.3357,2.4241,0.6778,0.4967,2022-05-24 13:41:07,2022-05-24 13:41:50,1,t,1,0,"hint used &  time (43s) - OK &  2 or more mistakes on 0 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/80_chest.png"" - 1 errs) --] ",7,18,70_50_10_bg6.png,FantasyOldKids,1,1,0.2,143,100,180,15,18,f,34,1,43,90
1092110,103520,0.0149,2.2684,2.5325,0.7262,0.599,2022-05-25 11:01:38,2022-05-25 11:02:05,4,f,0,0," time (27s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 3 item(s) &  [Mistakes Details:   (on object ""CityYoungKids/Items/1400_house.png"" - 1 errs) -- (on object ""CityYoungKids/Items/35_boot.png"" - 2 errs) -- (on object ""CityYoungKids/Items/17_pizza.png"" - 1 errs) --] ",4,6,73_50_15_bg4.png,CityYoungKids,1,0,0.0,143,100,300,4,9,f,14,1,27,90
1104438,136591,0.0153,2.6085,2.6378,0.7027,0.6431,2022-05-28 14:34:19,2022-05-28 14:35:48,6,t,3,0,"hint used &  time (89s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 4 item(s) - OK &  [Mistakes Details:   (on object ""CityOldKids/Items/55_shirt.png"" - 1 errs) -- (on object ""CityOldKids/Items/400_fountain.png"" - 1 errs) -- (on object ""CityOldKids/Items/190_tennisPlayer.png"" - 1 errs) -- (on object ""CityOldKids/Items/40_hat.png"" - 3 errs) --] ",9,25,58_50_7_bg5.png,CityOldKids,0,1,0.4,76,100,180,13,24,f,60,1,89,90
1109657,128073,0.014,2.4628,2.4578,0.7807,0.5088,2022-05-29 20:29:32,2022-05-29 20:31:16,9,t,1,0,"hint used &  time (104s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 2 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/4_candy.png"" - 8 errs) -- (on object ""FantasyOldKids/Items/45_magician_4.png"" - 1 errs) --] ",7,19,70_80_10_bg5.png,FantasyOldKids,0,0,0.4,153,100,180,15,18,f,66,1,104,0
1134844,129133,0.0203,2.6984,2.6549,0.6646,0.3883,2022-07-26 09:13:13,2022-07-26 09:14:10,2,t,1,0,"hint used &  time (57s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 1 item(s) - OK &  [Mistakes Details:   (on object ""Farm/Items/150_soil.png"" - 2 errs) --] ",8,21,65_100_10_bg9.png,Farm,0,0,0.4,71,100,180,16,21,f,61,1,57,90
1188028,140413,0.0191,2.9235,2.7731,0.747,0.523,2022-09-14 16:49:54,2022-09-14 16:50:59,4,t,1,0,"hint used &  time (65s) - OK &  2 or more mistakes on 1 item(s) &  any mistake on 3 item(s) - OK &  [Mistakes Details:   (on object ""FantasyOldKids/Items/12_picture.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/45_girlwitch_2.png"" - 1 errs) -- (on object ""FantasyOldKids/Items/45_magician.png"" - 2 errs) --] ",10,28,63_50_10_bg7.png,FantasyOldKids,0,1,0.2,71,100,180,16,27,f,61,1,65,90
