,id,JPEG_size,CONTOUR_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND,CONTOUR_CONGESTION
0,1000698,143042,0.0189,2.582,3.1051,0.733,0.5545
1,1006767,133233,0.0172,2.4407,2.765,0.7064,0.5636
2,1012303,153711,0.0218,2.9606,3.2066,0.7015,0.4331
3,104454,82589,0.0088,2.0572,2.3361,0.7858,0.4314
4,1055102,139979,0.0203,2.6423,2.6218,0.6787,0.5858
5,1087085,108292,0.013,2.3357,2.4241,0.6778,0.4967
6,1092110,103520,0.0149,2.2684,2.5325,0.7262,0.599
7,1104438,136591,0.0153,2.6085,2.6378,0.7027,0.6431
8,1109657,128073,0.014,2.4628,2.4578,0.7807,0.5088
9,1127746,99630,0.0069,2.3601,2.2611,0.8302,0.3023
10,1134844,129133,0.0203,2.6984,2.6549,0.6646,0.3883
11,117610,109121,0.0069,2.2734,2.295,0.8523,0.3515
12,117767,71471,0.0068,1.6611,1.818,0.6014,0.2986
13,118092,104354,0.0099,2.0775,2.4538,0.7238,0.428
14,118127,125520,0.0096,2.5213,2.5378,0.8347,0.3641
15,118291,107497,0.0111,2.052,2.5517,0.6881,0.5247
16,118654,109436,0.0111,2.0369,2.5425,0.7098,0.4971
17,1188028,140413,0.0191,2.9235,2.7731,0.747,0.523
18,120646,55684,0.0076,2.0921,1.8538,0.6033,0.2527
19,120687,70380,0.0085,1.8355,2.3305,0.6964,0.5306
20,1210552,134523,0.0172,2.8195,2.7287,0.7395,0.5371
21,121348,78720,0.0047,2.2897,2.1614,0.901,0.2942
22,121404,85596,0.0131,2.1276,2.4557,0.6346,0.4688
23,1245433,136423,0.02,2.5747,3.3906,0.6654,0.6192
24,1250349,151848,0.0261,2.9534,3.3726,0.7128,0.562
25,1250410,123532,0.0208,2.7848,3.1497,0.7006,0.5115
26,1294081,91162,0.0107,2.1849,2.13,0.7895,0.3257
27,1294122,93518,0.0106,2.1327,2.261,0.6491,0.3019
28,1294243,89664,0.011,1.9135,2.1051,0.6186,0.4915
29,1308652,101195,0.0158,2.4208,2.5584,0.6698,0.5327
30,133772,81025,0.009,2.0296,2.2927,0.7743,0.4955
31,1361973,138887,0.02,2.5775,2.8661,0.6777,0.6058
32,1429759,109211,0.017,2.4866,2.7081,0.659,0.5713
33,143518,74986,0.0077,1.9542,2.2297,0.8592,0.352
34,144510,96449,0.0149,2.0222,2.6256,0.6574,0.5882
35,144538,94770,0.0123,2.1453,2.6772,0.8251,0.4178
36,146267,90907,0.0153,2.3106,2.4702,0.6683,0.5075
37,146317,86678,0.0117,2.1675,2.6004,0.7457,0.4168
38,146474,100284,0.0156,2.2745,2.8239,0.7317,0.4383
39,149785,100402,0.0133,2.3536,2.74,0.7756,0.4578
40,149959,92379,0.0131,2.1508,2.6807,0.7383,0.376
41,152159,76694,0.0115,2.0835,2.2214,0.6702,0.4819
42,1549327,115588,0.0149,2.4481,2.4251,0.6516,0.4594
43,156249,90251,0.0096,1.7032,2.2491,0.672,0.5575
44,156275,114533,0.0079,2.4294,2.3507,0.8406,0.3092
45,1576276,142766,0.019,2.8772,3.0113,0.6922,0.556
46,160666,125383,0.0091,2.5114,2.5546,0.8465,0.3097
47,160699,112669,0.0101,2.1817,2.4427,0.7622,0.4184
48,160840,110483,0.0128,2.2656,2.3235,0.6448,0.428
49,1614058,92809,0.0133,2.0173,2.6076,0.6537,0.578
50,1616706,91641,0.0068,2.0861,2.0365,0.7899,0.3322
51,161785,108927,0.0115,1.8702,2.3407,0.7273,0.4797
52,1622883,95519,0.016,2.1955,2.6292,0.6872,0.5881
53,1622925,90282,0.0145,2.3801,2.6251,0.6823,0.5241
54,162700,124696,0.0089,2.4089,2.4668,0.8411,0.4658
55,163958,132690,0.0105,2.6447,2.6109,0.8372,0.3457
56,1664140,109453,0.0138,2.4106,2.4814,0.6991,0.4157
57,1664190,107079,0.0144,2.3764,2.6218,0.7323,0.496
58,166548,104068,0.0121,2.2352,2.2768,0.6442,0.3467
59,167532,94415,0.0092,1.741,2.1439,0.6765,0.4932
60,169696,86922,0.0167,2.3783,2.3683,0.6208,0.3673
61,170662,90199,0.0149,2.3323,2.4663,0.6564,0.4042
62,1708738,100945,0.012,2.6082,2.3729,0.7136,0.5633
63,171794,110287,0.0121,2.5975,2.7762,0.8262,0.4664
64,171964,111334,0.0126,2.6887,2.831,0.7965,0.4051
65,1728371,113432,0.0128,2.2355,2.351,0.7284,0.545
66,173626,64666,0.003,1.5758,1.7204,0.8466,0.2842
67,174968,64270,0.0081,1.6832,1.7026,0.7293,0.3669
68,174996,63258,0.0045,1.273,1.7139,0.7126,0.3586
69,1750381,109555,0.017,2.4613,2.8016,0.7231,0.6189
70,176400,76054,0.006,1.5542,1.9059,0.7908,0.4737
71,177509,103285,0.0131,2.1646,2.3765,0.6028,0.3742
72,1787224,129184,0.0167,2.4888,2.728,0.6615,0.6036
73,178940,77514,0.0099,1.8751,1.8399,0.6975,0.2978
74,180342,103439,0.0152,2.234,2.293,0.6601,0.4894
75,182433,62658,0.0061,1.7892,1.7301,0.6119,0.365
76,183059,87634,0.0125,1.9561,2.1294,0.6554,0.4316
77,183922,69691,0.0046,1.6791,1.8917,0.8677,0.2885
78,184526,90123,0.013,2.0516,2.1485,0.6944,0.3893
79,1846501,109717,0.0157,2.4208,2.4286,0.7065,0.4684
80,187559,104994,0.0126,1.9386,2.4865,0.6962,0.5126
81,188326,60296,0.0053,1.4346,1.7691,0.5797,0.3002
82,188495,67565,0.0045,1.5322,1.8714,0.7558,0.4744
83,1913703,136843,0.0154,2.6271,2.6464,0.6929,0.6401
84,1913887,146925,0.0162,2.9477,2.664,0.6787,0.4014
85,1920296,160690,0.0206,3.0773,2.925,0.7432,0.4639
86,1920487,141206,0.0138,2.8202,2.6403,0.7924,0.4762
87,192803,85278,0.0074,1.7073,2.1174,0.8117,0.3559
88,192828,90152,0.008,1.9174,2.1386,0.7935,0.533
89,1951297,120512,0.0151,2.5083,2.6131,0.6765,0.5602
90,207243,100174,0.0122,2.2521,2.2083,0.7046,0.4158
91,207269,96402,0.0117,2.0505,2.3052,0.6031,0.3782
92,207336,118727,0.0093,2.3998,2.5018,0.8327,0.4361
93,208038,69370,0.0051,1.5751,1.9366,0.7587,0.489
94,208832,92433,0.0084,1.9589,2.2003,0.7574,0.5033
95,208945,101243,0.0128,2.1209,2.3311,0.6351,0.4617
96,209509,92767,0.0092,1.8666,2.2563,0.8043,0.4946
97,210328,121112,0.014,2.2646,2.8749,0.749,0.4417
98,211230,84142,0.0115,2.0089,1.9379,0.6338,0.4552
99,212075,77946,0.0072,1.6002,1.9997,0.7782,0.3136
100,212117,91704,0.0082,1.8369,2.2554,0.8007,0.5007
101,213426,98265,0.0091,2.0407,2.2943,0.7919,0.4628
102,214364,110854,0.0074,2.3396,2.3929,0.8639,0.4533
103,216600,90567,0.0129,1.9494,2.4385,0.7407,0.4861
104,2169419,69374,0.007,1.9747,1.8467,0.6679,0.3799
105,2169553,67738,0.0069,1.7597,1.7923,0.7858,0.3652
106,2169591,55247,0.0039,1.3133,1.6622,0.7465,0.3469
107,2169630,81331,0.0073,2.3378,2.0239,0.7573,0.4441
108,218955,81750,0.0113,1.8133,1.9933,0.671,0.457
109,219055,108732,0.0164,2.3378,2.4088,0.6786,0.4229
110,219686,100552,0.0141,2.1626,2.2876,0.6951,0.4904
111,2207386,108997,0.014,2.3171,2.2364,0.688,0.6098
112,2207437,103004,0.0133,2.5906,2.1139,0.6896,0.4476
113,2217803,108467,0.0145,2.2579,2.7206,0.6722,0.4354
114,222162,93000,0.0086,1.7,2.1192,0.8013,0.6421
115,222203,82003,0.0104,1.8383,1.8708,0.6915,0.4736
116,222363,88237,0.0078,1.9216,2.1938,0.7706,0.3575
117,2226174,83765,0.01,1.9324,2.0669,0.6155,0.4243
118,222766,82512,0.007,1.8283,2.136,0.7714,0.3827
119,224856,93944,0.0117,2.1072,2.2409,0.593,0.3543
120,2254046,81076,0.0072,1.7079,2.0956,0.7582,0.4751
121,226103,97036,0.0127,2.1209,2.1068,0.6816,0.4161
122,2270521,116060,0.0127,2.4511,2.3631,0.8151,0.4702
123,228063,88766,0.0157,2.2847,2.3501,0.7128,0.4613
124,2293917,93137,0.0114,2.1702,2.1965,0.6681,0.5216
125,2296129,88998,0.0105,2.0707,2.0872,0.7243,0.5337
126,2305340,63104,0.0058,1.7573,1.6899,0.7888,0.2259
127,2305381,59644,0.0036,1.535,1.7227,0.7816,0.2655
128,2317621,110387,0.0157,2.2564,2.6816,0.7192,0.5941
129,2322688,103024,0.0124,2.308,2.4013,0.6574,0.5478
130,2326996,143376,0.0185,2.5188,2.8294,0.7125,0.4914
131,2330930,97066,0.0114,2.2854,1.9146,0.6871,0.401
132,233873,148505,0.0186,1.8584,2.3917,0.6792,0.5815
133,2340959,112710,0.0162,2.4437,2.685,0.712,0.4841
134,2346509,117697,0.0141,2.6832,2.5301,0.7441,0.4884
135,235193,152263,0.0191,1.8268,2.4303,0.6527,0.6355
136,236062,119207,0.0201,1.8834,2.408,0.6526,0.6074
137,2368385,67257,0.0065,1.5259,1.8436,0.6834,0.4266
138,2368423,82900,0.0069,2.0735,1.9477,0.8657,0.2549
139,2375920,131921,0.0173,2.7614,2.806,0.7178,0.5843
140,237790,118485,0.0182,2.6392,2.8678,0.6866,0.4866
141,2383641,101196,0.0093,2.2609,2.2202,0.8361,0.5011
142,239782,52552,0.0032,1.3061,1.6371,0.8525,0.2987
143,239797,48878,0.0038,1.4615,1.6439,0.7493,0.1663
144,2399020,120519,0.0184,2.6273,3.0432,0.6625,0.5734
145,2399156,105968,0.0134,2.3139,2.6362,0.7099,0.4931
146,241758,87332,0.0117,2.277,2.4732,0.7426,0.3088
